year,elections__state,incumbent first name,incumbent middle name,incumbent last name,incumbent gender,incumbent party,incumbent election history (1),incumbent election history(2),incumbent seniority,percent of votes incumbent voted with their party,percent of votes incumbent voted against their party,election result,candidate 1 full info,candidate 1 name,candidate 1 party,candidate 1 percentage of votes,"candidate 1 gender (0=M, 1=F)",candidate 1 funding,proportion of funding candidate 1,candidate 2 full info,candidate 2 name,candidate 2 party,candidate 2 percentage of votes,"candidate 2 gender (0=M, 1=F)",candidate 2 funding,proportion of funding candidate 2,"color value (0=no women, 1=woman won, 2=woman lost, 3=both women"
2000,New Jersey,Frank,R.,Lautenberg,M,D,1982,1988,17,93.68,6.32,Incumbent retired.New senator elected.Democratic hold.,Jon Corzine (Democratic) 50.1%,Jon Corzine ,Democratic,50.10%,0,"$63,253,520.00",,Bob Franks (Republican) 47.1%,Bob Franks ,Republican,47.10%,0,"$6,423,646.00",,0
2000,New Mexico,Jeff,null,Bingaman,M,D,1982,1988,17,91.44,8.56,Incumbent re-elected.,Jeff Bingaman (Democratic) 61.7%,Jeff Bingaman ,Democratic,61.70%,0,"$3,283,068.00",,William T. Redmond (Republican) 38.3%,William T. Redmond ,Republican,38.30%,0,"$719,147.00",,0
2000,New York,,,,,,1976,1982,,,,Incumbent retired.New senator elected.Democratic hold.,Hillary Clinton (Democratic) 55%,Hillary Clinton ,Democratic,55%,1,"$41,752,247.00",,Rick Lazio (Republican) 43%,Rick Lazio ,Republican,43%,0,"$39,020,511.00",,1
2000,North Dakota,Kent,null,Conrad,M,D,1986,1992 (Special),13,89.94,10.06,Incumbent re-elected.,Kent Conrad (Democratic) 61.4%,Kent Conrad ,Democratic,61.40%,0,"$2,734,814.00",,Duane Sand (Republican) 38.6%,Duane Sand ,Republican,38.60%,0,"$399,590.00",,0
2000,Ohio,,,,,,1994,,,,,Incumbent re-elected.,Mike DeWine (Republican) 59.9%,Mike DeWine ,Republican,59.90%,0,"$7,859,513.00",,Ted Celeste (Democratic) 35.9%,Ted Celeste ,Democratic,35.90%,0,"$477,784.00",,0
2000,Pennsylvania,,,,,,1994,,,,,Incumbent re-elected.,Rick Santorum (Republican) 52.4%,Rick Santorum ,Republican,52.40%,0,"$12,913,969.00",,Ron Klink (Democratic) 45.5%,Ron Klink ,Democratic,45.50%,0,"$3,960,955.00",,0
2000,Rhode Island,Lincoln,D.,Chafee,M,R,,,1,68.77,31.23,Interim appointee elected.,Lincoln Chafee (Republican) 56.8%,Lincoln Chafee ,Republican,56.80%,0,"$2,531,413.00",,Robert Weygand (Democratic) 41.1%,Robert Weygand ,Democratic,41.10%,0,"$2,420,479.00",,0
2000,Tennessee,,,,,,1994,,,,,Incumbent re-elected.,Bill Frist (Republican) 65.1%,Bill Frist ,Republican,65.10%,0,"$14,007,643.00",,Jeff Clark (Democratic) 32.2%,Jeff Clark ,Democratic,32.20%,0,"$286,469.00",,0
2000,Texas,,,,,,1993 (Special),1994,,,,Incumbent re-elected.,Kay Bailey Hutchison (Republican) 65%,Kay Bailey Hutchison ,Republican,65%,1,"$7,335,403.00",,Gene Kelly (Democratic) 32.3%,Gene Kelly ,Democratic,32.30%,0,,,1
2000,Utah,Orrin,G.,Hatch,M,R,1976,1982,23,94.62,5.38,Incumbent re-elected.,Orrin Hatch (Republican) 65.6%,Orrin Hatch ,Republican,65.60%,0,"$4,423,090.00",,Scott Howell (Democratic) 31.5%,Scott Howell ,Democratic,31.50%,0,"$299,747.00",,0
2000,Vermont,,,,,,1988,1994,,,,Incumbent re-elected.,Jim Jeffords (Republican) 65.6%,Jim Jeffords ,Republican,65.60%,0,"$2,332,543.00",,Ed Flanagan (Democratic) 25.4%,Ed Flanagan ,Democratic,25.40%,0,,,0
2000,Virginia,,,,,,1988,1994,,,,Incumbent lost re-election.New senator elected.Republican gain.,George Allen (Republican) 52.3%,George Allen ,Republican,52.30%,0,"$10,088,338.00",,Chuck Robb (Democratic) 47.7%,Chuck Robb ,Democratic,47.70%,0,"$7,445,732.00",,0
2000,Washington,Slade,null,Gorton,M,R,1980,1988,17,93.6,6.4,Incumbent lost re-election.New senator elected.Democratic gain.,Maria Cantwell (Democratic) 48.7%,Maria Cantwell ,Democratic,48.70%,1,"$11,538,665.00",,Slade Gorton (Republican) 48.6%,Slade Gorton ,Republican,48.60%,0,"$7,477,216.00",,1
2000,West Virginia,Robert,C.,Byrd,M,D,1958,1964,41,80.3,19.7,Incumbent re-elected.,Robert Byrd (Democratic) 77.7%,Robert Byrd ,Democratic,77.70%,0,"$1,243,582.00",,David T. Gallaher (Republican) 20.2%,David T. Gallaher ,Republican,20.20%,0,"$1,268,273.00",,0
2000,Wisconsin,Herb,null,Kohl,M,D,1988,1994,11,88.15,11.85,Incumbent re-elected.,Herb Kohl (Democratic) 61.5%,Herb Kohl ,Democratic,61.50%,0,"$5,478,107.00",,John Gillespie (Republican) 37%,John Gillespie ,Republican,37%,0,"$584,877.00",,0
2000,Wyoming,,,,,,1994,,,,,Incumbent re-elected.,Craig L. Thomas (Republican) 73.7%,Craig L. Thomas ,Republican,73.70%,0,"$1,087,273.00",,Mel Logan (Democratic) 22%,Mel Logan ,Democratic,22%,0,"$363,073.00",,0
2002,Alabama,Jeff,null,Sessions,M,R,1996,,5,90.55,9.45,Incumbent re-elected.,Jeff Sessions (Republican) 58.6%,Jeff Sessions ,Republican,58.60%,0,,,Susan Parker (Democratic) 39.8%,Susan Parker ,Democratic,39.80%,1,,,2
2002,Alaska,Ted,F.,Stevens,M,R,1970,1972,33,92.57,7.43,Incumbent re-elected.,Ted Stevens (Republican) 78%,Ted Stevens ,Republican,78%,0,,,Frank J. Vondersaar (Democratic) 11%,Frank J. Vondersaar ,Democratic,11%,0,,,0
2002,Arkansas,Tim,null,Hutchinson,M,R,1996,,5,90.68,9.32,Incumbent lost re-election.New senator elected.Democratic gain.,Mark Pryor (Democratic) 53.9%,Mark Pryor ,Democratic,53.90%,0,,,Tim Hutchinson (Republican) 46.1%,Tim Hutchinson ,Republican,46.10%,0,,,0
2002,Colorado,Wayne,A.,Allard,M,R,1996,,5,93.25,6.75,Incumbent re-elected.,Wayne Allard (Republican) 50.7%,Wayne Allard ,Republican,50.70%,0,,,Tom Strickland (Democratic) 45.8%,Tom Strickland ,Democratic,45.80%,0,,,0
2002,Delaware,,,,,,1972,1978,,,,Incumbent re-elected.,Joe Biden (Democratic) 58.2%,Joe Biden ,Democratic,58.20%,0,,,Raymond J. Clatworthy (Republican) 40.8%,Raymond J. Clatworthy ,Republican,40.80%,0,,,0
2002,Georgia,Max,null,Cleland,M,D,1996,,5,85.46,14.54,Incumbent lost re-election.New senator elected.Republican gain.,Saxby Chambliss (Republican) 52.7%,Saxby Chambliss ,Republican,52.70%,0,,,Max Cleland (Democratic) 45.9%,Max Cleland ,Democratic,45.90%,0,,,0
2002,Idaho,Larry,E.,Craig,M,R,1990,1996,11,95.45,4.55,Incumbent re-elected.,Larry Craig (Republican) 65%,Larry Craig ,Republican,65%,0,,,Alan Blinken (Democratic) 33%,Alan Blinken ,Democratic,33%,0,,,0
2002,Illinois,,,,,,1996,,,,,Incumbent re-elected.,Dick Durbin (Democratic) 60.3%,Dick Durbin ,Democratic,60.30%,0,,,Jim Durkin (Republican) 38%,Jim Durkin ,Republican,38%,0,,,0
2002,Iowa,Tom,null,Harkin,M,D,1984,1990,17,94.58,5.42,Incumbent re-elected.,Tom Harkin (Democratic) 54.2%,Tom Harkin ,Democratic,54.20%,0,,,Greg Ganske (Republican) 43.8%,Greg Ganske ,Republican,43.80%,0,,,0
2002,Kansas,Pat,null,Roberts,M,R,1996,,5,95.11,4.89,Incumbent re-elected.,Pat Roberts (Republican) 82.5%,Pat Roberts ,Republican,82.50%,0,,,Steven A. Rosile (Libertarian) 9.1%,Steven A. Rosile ,Libertarian,9.10%,0,,,0
2002,Kentucky,Mitch,null,McConnell,M,R,1984,1990,17,97.11,2.89,Incumbent re-elected.,Mitch McConnell (Republican) 64.7%,Mitch McConnell ,Republican,64.70%,0,,,Lois Combs Weinberg (Democratic) 35.3%,Lois Combs Weinberg ,Democratic,35.30%,0,,,0
2002,Louisiana,Mary,L.,Landrieu,F,D,1996,,5,86.18,13.82,Incumbent re-elected.,Mary Landrieu (Democratic) 51.7%,Mary Landrieu ,Democratic,51.70%,1,,,Suzanne Haik Terrell (Republican) 48.3%,Suzanne Haik Terrell ,Republican,48.30%,1,,,3
2002,Maine,Susan,null,Collins,F,R,1996,,5,78.86,21.14,Incumbent re-elected.,Susan Collins (Republican) 58.4%,Susan Collins ,Republican,58.40%,1,,,Chellie Pingree (Democratic) 41.6%,Chellie Pingree ,Democratic,41.60%,1,,,3
2002,Massachusetts,John,null,Kerry,M,D,1984,1990,17,95.7,4.3,Incumbent re-elected.,John Kerry (Democratic) 72.3%,John Kerry ,Democratic,72.30%,0,"$12,764,591.00",,Michael E. Cloud (Libertarian) 16.6%,Michael E. Cloud ,Libertarian,16.60%,0,,,0
2002,Michigan,Carl,null,Levin,M,D,1978,1984,23,95.35,4.65,Incumbent re-elected.,Carl Levin (Democratic) 60.6%,Carl Levin ,Democratic,60.60%,0,,,Rocky Raczkowski (Republican) 37.9%,Rocky Raczkowski ,Republican,37.90%,0,,,0
2002,Minnesota,Dean,null,Barkley,M,I,,,1,64.29,35.71,"DFL senator was renominated but died October 25, 2002.Dean Barkley was appointed November 4, 2002 to finish the term.Interim appointee retired.New senator elected.Republican gain.",Norm Coleman (Republican) 49.5%,Norm Coleman ,Republican,49.50%,0,,,Walter Mondale (DFL) 47.3%,Walter Mondale ,DFL,47.30%,0,,,0
2002,Mississippi,Thad,null,Cochran,M,R,1978,1984,23,91.05,8.95,Incumbent re-elected.,Thad Cochran (Republican) 85.6%,Thad Cochran ,Republican,85.60%,0,,,Shawn O'Hara (Reform) 15.4%,Shawn O'Hara ,Reform,15.40%,0,,,0
2002,Montana,Max,null,Baucus,M,D,1978,1984,23,81.12,18.88,Incumbent re-elected.,Max Baucus (Democratic) 62.7%,Max Baucus ,Democratic,62.70%,0,,,Mike Taylor (Republican) 31.7%,Mike Taylor ,Republican,31.70%,0,,,0
2002,Nebraska,Chuck,T.,Hagel,M,R,1996,,5,93.56,6.44,Incumbent re-elected.,Chuck Hagel (Republican) 82.8%,Chuck Hagel ,Republican,82.80%,0,,,Charlie A. Matulka (Democratic) 14.6%,Charlie A. Matulka ,Democratic,14.60%,0,,,0
2002,New Hampshire,Bob,null,Smith,M,R,1990,1996,11,89.47,10.53,Incumbent lost renomination.New senator elected.Republican hold.,John E. Sununu (Republican) 50.8%,John E. Sununu ,Republican,50.80%,0,,,Jeanne Shaheen (Democratic) 46.4%,Jeanne Shaheen ,Democratic,46.40%,1,,,2
2002,New Jersey,Robert,G.,Torricelli,M,D,1996,,6,89.24,10.76,Incumbent renominated but withdrew.New senator elected.Democratic hold.,Frank Lautenberg (Democratic) 53.9%,Frank Lautenberg ,Democratic,53.90%,0,,,Doug Forrester (Republican) 44%,Doug Forrester ,Republican,44%,0,,,0
2002,New Mexico,Pete,V.,Domenici,M,R,1972,1978,29,94.34,5.66,Incumbent re-elected.,Pete Domenici (Republican) 65%,Pete Domenici ,Republican,65%,0,,,Gloria Tristani (Democratic) 35%,Gloria Tristani ,Democratic,35%,1,,,2
2002,North Carolina,Jesse,null,Helms,M,R,1972,1978,29,93.02,6.98,Incumbent retired.New senator elected.Republican hold.,Elizabeth Dole (Republican) 53.6%,Elizabeth Dole ,Republican,53.60%,1,,,Erskine Bowles (Democratic) 45%,Erskine Bowles ,Democratic,45%,0,,,1
2002,Oklahoma,,,,,,1994 (Special),1996,,,,Incumbent re-elected.,Jim Inhofe (Republican) 57.3%,Jim Inhofe ,Republican,57.30%,0,,,David Walters (Democratic) 36.3%,David Walters ,Democratic,36.30%,0,,,0
2002,Oregon,,,,,,1996,,,,,Incumbent re-elected.,Gordon H. Smith (Republican) 56.2%,Gordon H. Smith ,Republican,56.20%,0,,,Bill Bradbury (Democratic) 39.6%,Bill Bradbury ,Democratic,39.60%,0,,,0
2002,Rhode Island,Jack,null,Reed,M,D,1996,,5,94.68,5.32,Incumbent re-elected.,Jack Reed (Democratic) 78.4%,Jack Reed ,Democratic,78.40%,0,,,Robert Tingle (Republican) 21.6%,Robert Tingle ,Republican,21.60%,0,,,0
2002,South Carolina,Strom,null,Thurmond,M,R,1954,1956 (Special),46,93.68,6.32,Incumbent retired.New senator elected.Republican hold.,Lindsey Graham (Republican) 54.4%,Lindsey Graham ,Republican,54.40%,0,,,Alex Sanders (Democratic) 44.2%,Alex Sanders ,Democratic,44.20%,0,,,0
2002,South Dakota,Tim,null,Johnson,M,D,1996,,5,92.37,7.63,Incumbent re-elected.,Tim Johnson (Democratic) 49.6%,Tim Johnson ,Democratic,49.60%,0,,,John Thune (Republican) 49.5%,John Thune ,Republican,49.50%,0,,,0
2002,Tennessee,Fred,null,Thompson,M,R,1994 (Special),1996,9,90.64,9.36,Incumbent retired.New senator elected.Republican hold.,Lamar Alexander (Republican) 54%,Lamar Alexander ,Republican,54%,0,,,Bob Clement (Democratic) 44%,Bob Clement ,Democratic,44%,0,,,0
2002,Texas,Phil,null,Gramm,M,R,1984,1990,17,90.05,9.95,Incumbent retired.New senator elected.Republican hold.,John Cornyn (Republican) 55.3%,John Cornyn ,Republican,55.30%,0,,,Ron Kirk (Democratic) 43.3%,Ron Kirk ,Democratic,43.30%,0,,,0
2002,Virginia,John,W.,Warner,M,R,1978,1984,23,89.64,10.36,Incumbent re-elected.,John Warner (Republican) 82.6%,John Warner ,Republican,82.60%,0,,,Nancy Spannaus (Independent) 9.7%,Nancy Spannaus ,Independent,9.70%,1,,,2
2002,West Virginia,,,,,,1984,1990,,,,Incumbent re-elected.,Jay Rockefeller (Democratic) 63.1%,Jay Rockefeller ,Democratic,63.10%,0,,,Jay Wolfe (Republican) 36.9%,Jay Wolfe ,Republican,36.90%,0,,,0
2002,Wyoming,,,,,,1996,,,,,Incumbent re-elected.,Mike Enzi (Republican) 73%,Mike Enzi ,Republican,73%,0,,,Joyce Jansa Corcoran (Democratic) 27%,Joyce Jansa Corcoran ,Democratic,27%,1,,,2
2006,Arizona,Jon,null,Kyl,M,R,1994,2000,11,90.27,9.73,Incumbent re-elected.,Jon Kyl (Republican) 53.3%,Jon Kyl ,Republican,53.30%,0,,,Jim Pederson (Democratic) 43.5%,Jim Pederson ,Democratic,43.50%,0,,,0
2006,California,Dianne,null,Feinstein,F,D,1992 (Special),1994,13,93.59,6.41,Incumbent re-elected.,Dianne Feinstein (Democratic) 59.4%,Dianne Feinstein ,Democratic,59.40%,1,,,Dick Mountjoy (Republican) 35.2%,Dick Mountjoy ,Republican,35.20%,0,,,1
2006,Connecticut,,,,,,1988,1994,,,,"Incumbent lost renomination, but re-elected.Connecticut for Lieberman gain.",Joe Lieberman (Connecticut for Lieberman) 49.7%,Joe Lieberman ,Connecticut for Lieberman,49.70%,0,,,Ned Lamont (Democratic) 39.7%,Ned Lamont ,Democratic,39.70%,0,,,0
2006,Delaware,,,,,,2000,,,,,Incumbent re-elected.,Tom Carper (Democratic) 67.1%,Tom Carper ,Democratic,67.10%,0,,,Jan Ting (Republican) 27.4%,Jan Ting ,Republican,27.40%,1,,,2
2006,Florida,Bill,null,Nelson,M,D,2000,,5,85.92,14.08,Incumbent re-elected.,Bill Nelson (Democratic) 60.3%,Bill Nelson ,Democratic,60.30%,0,,,Katherine Harris (Republican) 38.1%,Katherine Harris ,Republican,38.10%,1,,,2
2006,Hawaii,Daniel,K.,Akaka,M,D,1990 (Special),1994,15,94.83,5.17,Incumbent re-elected.,Daniel Akaka (Democratic) 61.4%,Daniel Akaka ,Democratic,61.40%,0,,,Cynthia Thielen (Republican) 36.8%,Cynthia Thielen ,Republican,36.80%,1,,,2
2006,Indiana,Richard,G.,Lugar,M,R,1976,1982,29,87.38,12.62,Incumbent re-elected.,Richard Lugar (Republican) 87.3%,Richard Lugar ,Republican,87.30%,0,,,Steve Osborn (Libertarian) 12.6%,Steve Osborn ,Libertarian,12.60%,0,,,0
2006,Maine,Olympia,J.,Snowe,F,R,1994,2000,11,71.72,28.28,Incumbent re-elected.,Olympia Snowe (Republican) 74.4%,Olympia Snowe ,Republican,74.40%,1,,,Jean Hay Bright (Democratic) 20.5%,Jean Hay Bright ,Democratic,20.50%,1,,,3
2006,Maryland,Paul,S.,Sarbanes,M,D,1976,1982,29,94.9,5.1,Incumbent retired.New senator elected.Democratic hold.,Ben Cardin (Democratic) 54.2%,Ben Cardin ,Democratic,54.20%,0,,,Michael Steele (Republican) 44.2%,Michael Steele ,Republican,44.20%,0,,,0
2006,Massachusetts,,,,,,1962 (Special),1964,,,,Incumbent re-elected.,Ted Kennedy (Democratic) 69.5%,Ted Kennedy ,Democratic,69.50%,0,,,Kenneth Chase (Republican) 30.5%,Kenneth Chase ,Republican,30.50%,0,,,0
2006,Michigan,Debbie,null,Stabenow,F,D,2000,,5,93.78,6.22,Incumbent re-elected.,Debbie Stabenow (Democratic) 56.9%,Debbie Stabenow ,Democratic,56.90%,1,,,Mike Bouchard (Republican) 41.3%,Mike Bouchard ,Republican,41.30%,0,,,1
2006,Minnesota,Mark,null,Dayton,M,D,2000,,5,94.21,5.79,Incumbent retired.New senator elected.Democratic hold.,Amy Klobuchar (Democratic-Farmer-Labor) 58.1%,Amy Klobuchar ,Democratic-Farmer-Labor,58.10%,1,,,Mark Kennedy (Republican) 37.9%,Mark Kennedy ,Republican,37.90%,0,,,1
2006,Mississippi,Trent,null,Lott,M,R,1988,1994,17,93.23,6.77,Incumbent re-elected.,Trent Lott (Republican) 63.6%,Trent Lott ,Republican,63.60%,0,,,Erik Fleming (Democratic) 34.8%,Erik Fleming ,Democratic,34.80%,0,,,0
2006,Missouri,,,,,,2002 (Special),,,,,Incumbent lost re-election.New senator elected.Democratic gain.,Claire McCaskill (Democratic) 49.6%,Claire McCaskill ,Democratic,49.60%,1,,,Jim Talent (Republican) 47.3%,Jim Talent ,Republican,47.30%,0,,,1
2006,Montana,Conrad,null,Burns,M,R,1988,1994,17,92.94,7.06,Incumbent lost re-election.New senator elected.Democratic gain.,Jon Tester (Democratic) 49.2%,Jon Tester ,Democratic,49.20%,0,,,Conrad Burns (Republican) 48.3%,Conrad Burns ,Republican,48.30%,0,,,0
2006,Nebraska,Ben,null,Nelson,M,D,2000,,5,63.51,36.49,Incumbent re-elected.,Ben Nelson (Democratic) 63.9%,Ben Nelson ,Democratic,63.90%,0,,,Pete Ricketts (Republican) 36.1%,Pete Ricketts ,Republican,36.10%,0,,,0
2006,Nevada,John,null,Ensign,M,R,2000,,5,88.87,11.13,Incumbent re-elected.,John Ensign (Republican) 55.4%,John Ensign ,Republican,55.40%,0,,,Jack Carter (Democratic) 41%,Jack Carter ,Democratic,41%,0,,,0
2006,New Jersey,,,,,,,,,,,Interim appointee elected.,Bob Menendez (Democratic) 53.4%,Bob Menendez ,Democratic,53.40%,0,,,Thomas Kean Jr. (Republican) 44.3%,Thomas Kean Jr. ,Republican,44.30%,0,,,0
2006,New Mexico,Jeff,null,Bingaman,M,D,1982,1988,23,90.81,9.19,Incumbent re-elected.,Jeff Bingaman (Democratic) 70.6%,Jeff Bingaman ,Democratic,70.60%,0,,,Allen McCulloch (Republican) 29.3%,Allen McCulloch ,Republican,29.30%,0,,,0
2006,New York,Hillary,Rodham,Clinton,F,D,2000,,5,94.51,5.49,Incumbent re-elected.,Hillary Clinton (Democratic) 67.0%,Hillary Clinton ,Democratic,67.00%,1,,,John Spencer (Republican) 31.0%,John Spencer ,Republican,31.00%,0,,,1
2006,North Dakota,Kent,null,Conrad,M,D,1986,1992 (Special),19,83.77,16.23,Incumbent re-elected.,Kent Conrad (Democratic) 68.8%,Kent Conrad ,Democratic,68.80%,0,,,Dwight Grotberg (Republican) 29.5%,Dwight Grotberg ,Republican,29.50%,0,,,0
2006,Ohio,,,,,,1994,2000,,,,Incumbent lost re-election.New senator elected.Democratic gain.,Sherrod Brown (Democratic) 56.2%,Sherrod Brown ,Democratic,56.20%,0,,,Mike DeWine (Republican) 43.8%,Mike DeWine ,Republican,43.80%,0,,,0
2006,Pennsylvania,,,,,,1994,2000,,,,Incumbent lost re-election.New senator elected.Democratic gain.,Bob Casey Jr. (Democratic) 58.7%,Bob Casey Jr. ,Democratic,58.70%,0,,,Rick Santorum (Republican) 41.3%,Rick Santorum ,Republican,41.30%,0,,,0
2006,Rhode Island,Lincoln,D.,Chafee,M,R,2000,,7,62.32,37.68,Incumbent lost re-election.New senator elected.Democratic gain.,Sheldon Whitehouse (Democratic) 53.5%,Sheldon Whitehouse ,Democratic,53.50%,0,,,Lincoln Chafee (Republican) 46.5%,Lincoln Chafee ,Republican,46.50%,0,,,0
2006,Tennessee,,,,,,1994,2000,,,,Incumbent retired.New senator elected.Republican hold.,Bob Corker (Republican) 50.7%,Bob Corker ,Republican,50.70%,0,,,Harold Ford Jr. (Democratic) 48.0%,Harold Ford Jr. ,Democratic,48.00%,0,,,0
2006,Texas,,,,,,1993 (Special),1994,,,,Incumbent re-elected.,Kay Bailey Hutchison (Republican) 61.7%,Kay Bailey Hutchison ,Republican,61.70%,1,,,Barbara Ann Radnofsky (Democratic) 36.0%,Barbara Ann Radnofsky ,Democratic,36.00%,1,,,3
2006,Utah,Orrin,G.,Hatch,M,R,1976,1982,29,95.16,4.84,Incumbent re-elected.,Orrin Hatch (Republican) 62.6%,Orrin Hatch ,Republican,62.60%,0,,,Pete Ashdown (Democratic) 30.8%,Pete Ashdown ,Democratic,30.80%,0,,,0
2006,Vermont,,,,,,1988,1994,,,,Incumbent retired.New senator elected.Independent hold.,Bernie Sanders (Independent) 65.4%,Bernie Sanders ,Independent,65.40%,0,,,Richard Tarrant (Republican) 32.3%,Richard Tarrant ,Republican,32.30%,0,,,0
2006,Virginia,George,Felix,Allen,M,R,2000,,5,93.27,6.73,Incumbent lost re-election.New senator elected.Democratic gain.,Jim Webb (Democratic) 49.6%,Jim Webb ,Democratic,49.60%,0,,,George Allen (Republican) 49.2%,George Allen ,Republican,49.20%,0,,,0
2006,Washington,Maria,null,Cantwell,F,D,2000,,5,92.5,7.5,Incumbent re-elected.,Maria Cantwell (Democratic) 56.85%,Maria Cantwell ,Democratic,56.85%,1,,,Mike McGavick (Republican) 39.93%,Mike McGavick ,Republican,39.93%,0,,,1
2006,West Virginia,Robert,C.,Byrd,M,D,1958,1964,47,83.71,16.29,Incumbent re-elected.,Robert Byrd (Democratic) 64.4%,Robert Byrd ,Democratic,64.40%,0,,,John Raese (Republican) 33.7%,John Raese ,Republican,33.70%,0,,,0
2006,Wisconsin,Herb,null,Kohl,M,D,1988,1994,17,92.53,7.47,Incumbent re-elected.,Herb Kohl (Democratic) 67.31%,Herb Kohl ,Democratic,67.31%,0,,,Robert Lorge (Republican) 29.48%,Robert Lorge ,Republican,29.48%,0,,,0
2006,Wyoming,,,,,,1994,2000,,,,Incumbent re-elected.,Craig L. Thomas (Republican) 69.99%,Craig L. Thomas ,Republican,69.99%,0,,,Dale Groutage (Democratic) 29.86%,Dale Groutage ,Democratic,29.86%,0,,,0
2008,Alabama,Jeff,null,Sessions,M,R,1996,2002,11,89.92,10.08,Incumbent re-elected.,Jeff Sessions (Republican) 63.4%,Jeff Sessions ,Republican,63.40%,0,"$6,485,595.00",,Vivian Davis Figures (Democratic) 36.5%,Vivian Davis Figures ,Democratic,36.50%,1,,,2
2008,Alaska,Ted,F.,Stevens,M,R,1970,1972,39,82.6,17.4,Incumbent lost re-election.New member elected.Democratic gain.,Mark Begich (Democratic) 47.8%,Mark Begich ,Democratic,47.80%,0,"$4,576,970.00",,Ted Stevens (Republican) 46.6%,Ted Stevens ,Republican,46.60%,0,"$5,165,263.00",,0
2008,Arkansas,Mark,null,Pryor,M,D,2002,,5,87.37,12.63,Incumbent re-elected.,Mark Pryor (Democratic) 79.5%,Mark Pryor ,Democratic,79.50%,0,"$5,943,688.00",,Rebekah Kennedy (Green) 20.5%,Rebekah Kennedy ,Green,20.50%,1,,,2
2008,Colorado,Wayne,A.,Allard,M,R,1996,2002,11,89.79,10.21,Incumbent retired.New member elected.Democratic gain.,Mark Udall (Democratic) 52.8%,Mark Udall ,Democratic,52.80%,0,,,Bob Schaffer (Republican) 42.5%,Bob Schaffer ,Republican,42.50%,0,"$7,419,347.00",,0
2008,Delaware,,,,,,1972,1978,,,,Incumbent re-elected.,Joe Biden (Democratic) 64.7%,Joe Biden ,Democratic,64.70%,0,"$7,981,036.00",,Christine O'Donnell (Republican) 35.3%,Christine O'Donnell ,Republican,35.30%,1,,,2
2008,Georgia,Saxby,null,Chambliss,M,R,2002,,5,92.69,7.31,Incumbent re-elected.,Saxby Chambliss (Republican) 49.8%,Saxby Chambliss ,Republican,49.80%,0,"$18,348,573.00",,Jim Martin (Democratic) 46.8%,Jim Martin ,Democratic,46.80%,0,"$7,490,201.00",,0
2008,Idaho,Larry,E.,Craig,M,R,1990,1996,17,90.38,9.62,Incumbent retired.New member elected.Republican hold.,Jim Risch (Republican) 57.7%,Jim Risch ,Republican,57.70%,0,"$3,594,815.00",,Larry LaRocco (Democratic) 34.1%,Larry LaRocco ,Democratic,34.10%,0,"$1,424,818.00",,0
2008,Illinois,,,,,,1996,2002,,,,Incumbent re-elected.,Dick Durbin (Democratic) 67.8%,Dick Durbin ,Democratic,67.80%,0,"$11,317,550.00",,Steve Sauerberg (Republican) 28.5%,Steve Sauerberg ,Republican,28.50%,0,"$2,025,437.00",,0
2008,Iowa,Tom,null,Harkin,M,D,1984,1990,23,95.57,4.43,Incumbent re-elected.,Tom Harkin (Democratic) 62.7%,Tom Harkin ,Democratic,62.70%,0,"$9,179,122.00",,Christopher Reed (Republican) 37.3%,Christopher Reed ,Republican,37.30%,0,,,0
2008,Kansas,Pat,null,Roberts,M,R,1996,2002,11,89.23,10.77,Incumbent re-elected.,Pat Roberts (Republican) 60.0%,Pat Roberts ,Republican,60.00%,0,"$6,519,351.00",,Jim Slattery (Democratic) 36.4%,Jim Slattery ,Democratic,36.40%,0,"$1,677,907.00",,0
2008,Kentucky,Mitch,null,McConnell,M,R,1984,1990,23,93.42,6.58,Incumbent re-elected.,Mitch McConnell (Republican) 53.0%,Mitch McConnell ,Republican,53.00%,0,"$22,940,153.00",,Bruce Lunsford (Democratic) 47.0%,Bruce Lunsford ,Democratic,47.00%,0,"$10,883,172.00",,0
2008,Louisiana,Mary,L.,Landrieu,F,D,1996,2002,11,83.7,16.3,Incumbent re-elected.,Mary Landrieu (Democratic) 52.1%,Mary Landrieu ,Democratic,52.10%,1,"$11,336,096.00",,John Kennedy (Republican) 45.7%,John Kennedy ,Republican,45.70%,0,"$5,018,585.00",,1
2008,Maine,Susan,null,Collins,F,R,1996,2002,11,67.87,32.13,Incumbent re-elected.,Susan Collins (Republican) 61.3%,Susan Collins ,Republican,61.30%,1,"$8,039,750.00",,Tom Allen (Democratic) 38.6%,Tom Allen ,Democratic,38.60%,0,"$5,998,773.00",,1
2008,Massachusetts,John,null,Kerry,M,D,1984,1990,23,95.66,4.34,Incumbent re-elected.,John Kerry (Democratic) 65.8%,John Kerry ,Democratic,65.80%,0,"$30,082,341.00",,Jeff Beatty (Republican) 31.0%,Jeff Beatty ,Republican,31.00%,0,"$2,078,533.00",,0
2008,Michigan,Carl,null,Levin,M,D,1978,1984,29,96.88,3.12,Incumbent re-elected.,Carl Levin (Democratic) 62.7%,Carl Levin ,Democratic,62.70%,0,"$8,670,783.00",,Jack Hoogendyk (Republican) 33.8%,Jack Hoogendyk ,Republican,33.80%,0,,,0
